player1,player2,win_probability_p1,actual_outcome
Volkov P.,Sokoltsov Y.,0.5,0
Zholubak R.,Vilenchyts N.,0.5459,0
Crainiucov G.,Uzun N.,0.5,0
Zimcik L.,Plyska O.,0.5459,1
Tebenko Y.,Kolos Y.,0.5,0
Marchuk M.,Chernyshov D.,0.6445,1
Ziakun O.,Maliuk S.,0.5,1
Drobov D.,Honchar Y.,0.5459,1
Khorolskyi V.,Pereyaslavsky D.,0.5,1
Zezule O.,Barsa T.,0.5418,1
Mischenko S.,Dobrzhinsky O.,0.5,1
Pavelka J.,Sprongl J.,0.4541,0
Budnikov A.,Korobko V.,0.5,0
Kyilo V.,Diachenko M.,0.4583,0
Cuba M.,Novak R.,0.5,1
Lushchyk A.,Hubenko M.,0.587,0
Bochkovskyi V.,Yurchenko K.,0.413,0
Samofal Y.,Sokoltsov Y.,0.458,1
Pashkevich R.,Uzun N.,0.5,0
Huchok A.,Okopnyi V.,0.5459,0
Sachuk S.,Hryshchenko O.,0.4811,1
Svoboda V.,Melisek M.,0.5,0
Zaporozhets R.,Ziakun O.,0.5417,0
Pereyaslavsky D.,Peretiatko A.,0.4539,0
Zholubak R.,Drobov D.,0.413,0
Brichacek D.,Rulc L.,0.5,0
Dobrzhinsky O.,Kovik I.,0.5,0
Marchuk M.,Diachenko M.,0.5123,0
Tebenko Y.,Budnikov A.,0.4541,0
Cuba M.,Melisek M.,0.5,1
Lushchyk A.,Miroshnychenko S.,0.4501,1
Bochkovskyi V.,Vilenchyts N.,0.4559,0
Pfleger M.,Fafek J.,0.5,0
Volkov P.,Khorolskyi V.,0.4541,1
Crainiucov G.,Mischenko S.,0.4541,1
Hryshchenko O.,Chernyshov D.,0.6179,0
Okopnyi V.,Kolos Y.,0.5021,1
Brichacek D.,Fafek J.,0.4541,1
Svoboda V.,Novak R.,0.5,1
Honchar Y.,Yurchenko K.,0.4149,0
Samofal Y.,Pereyaslavsky D.,0.5496,0
Pashkevich R.,Dobrzhinsky O.,0.5459,1
Pfleger M.,Rulc L.,0.4541,0
Kyilo V.,Sachuk S.,0.4366,0
Cuba M.,Svoboda V.,0.5459,1
Zaporozhets R.,Lushchyk A.,0.4538,0
Khorolskyi V.,Sokoltsov Y.,0.4998,0
Zholubak R.,Bochkovskyi V.,0.5418,1
Brichacek D.,Pfleger M.,0.5459,1
Huchok A.,Korobko V.,0.452,0
Mischenko S.,Uzun N.,0.452,1
Marchuk M.,Hryshchenko O.,0.5659,0
Tebenko Y.,Okopnyi V.,0.409,1
Drobov D.,Yurchenko K.,0.5018,0
Melisek M.,Novak R.,0.5459,0
Volkov P.,Peretiatko A.,0.4581,0
Fafek J.,Rulc L.,0.4541,1
Crainiucov G.,Kovik I.,0.5021,0
Huchok A.,Budnikov A.,0.4563,0
Sachuk S.,Diachenko M.,0.4763,1
Miroshnychenko S.,Maliuk S.,0.6069,1
Samofal Y.,Khorolskyi V.,0.5057,1
Vilenchyts N.,Honchar Y.,0.5442,1
Novak R.,Svoboda V.,0.5,0
Pfleger M.,Brichacek D.,0.413,1
Pashkevich R.,Mischenko S.,0.4978,1
Kolos Y.,Korobko V.,0.4112,0
Kyilo V.,Chernyshov D.,0.5366,1
Volkov P.,Pereyaslavsky D.,0.4996,0
Melisek M.,Cuba M.,0.4089,0
Rulc L.,Fafek J.,0.4958,0
Crainiucov G.,Dobrzhinsky O.,0.5458,0
Marchuk M.,Sachuk S.,0.439,0
Tebenko Y.,Huchok A.,0.5042,0
Sokoltsov Y.,Peretiatko A.,0.456,1
Polak K.,Provaznik L.,0.5,0
Rejent S.,Chalupa J.,0.5,1
Uzun N.,Kovik I.,0.4977,1
Kyilo V.,Hryshchenko O.,0.4688,1
Okopnyi V.,Korobko V.,0.4129,0
Samofal Y.,Volkov P.,0.5452,1
Sabuka D.,Stehlik M.,0.5,0
Krames J.,Liska T.,0.5,0
Pashkevich R.,Crainiucov G.,0.5892,1
Budnikov A.,Kolos Y.,0.583,0
Diachenko M.,Chernyshov D.,0.6562,0
Khorolskyi V.,Peretiatko A.,0.4129,1
Polak K.,Stehlik M.,0.4541,0
Rejent S.,Liska T.,0.5,0
Mischenko S.,Kovik I.,0.5,1
Marchuk M.,Kyilo V.,0.5007,0
Pereyaslavsky D.,Sokoltsov Y.,0.4584,0
Sabuka D.,Provaznik L.,0.4541,0
Krames J.,Chalupa J.,0.5,0
Dobrzhinsky O.,Uzun N.,0.4151,0
Sachuk S.,Chernyshov D.,0.6691,1
Verbianyi V.,Pavlyuk O.,0.5,1
Polak K.,Sabuka D.,0.5,0
Rejent S.,Krames J.,0.5459,0
Hryshchenko O.,Diachenko M.,0.4549,1
Kistechko M.,Lyevshyn V.,0.5,0
Stehlik M.,Provaznik L.,0.5,0
Liska T.,Chalupa J.,0.5459,1
Danyliuk N.,Pavlyuk O.,0.523,1
Bielokon Y.,Melashenko O.,0.5,1
Sabuka D.,Polak K.,0.5459,1
Krames J.,Rejent S.,0.5042,1
Chelpanov S.,Kurischenko Y.,0.5,0
Verbianyi V.,Kistechko M.,0.5459,1
Provaznik L.,Stehlik M.,0.5459,0
Chalupa J.,Liska T.,0.413,0
Yushko R.,Husiev V.,0.5,0
Bondarenko S.,Kovalchuk O.,0.5,0
Danyliuk N.,Lyevshyn V.,0.4989,1
Homylko A.,Chuliukov S.,0.5,0
Shyndel I.,Mishchenko O.,0.5,0
Kistechko M.,Pavlyuk O.,0.5011,1
Bielokon Y.,Husiev V.,0.5,1
Chelpanov S.,Kovalchuk O.,0.4541,1
Verbianyi V.,Lyevshyn V.,0.5439,0
Chuliukov S.,Melashenko O.,0.5459,1
Mishchenko O.,Kurischenko Y.,0.5,0
Danyliuk N.,Kistechko M.,0.5656,1
Yushko R.,Homylko A.,0.5,0
Bondarenko S.,Shyndel I.,0.5,0
Lyevshyn V.,Pavlyuk O.,0.5919,0
Bielokon Y.,Chuliukov S.,0.5021,0
Chelpanov S.,Mishchenko O.,0.5021,1
Danyliuk N.,Verbianyi V.,0.546,1
Homylko A.,Husiev V.,0.5,1
Shyndel I.,Kovalchuk O.,0.5021,1
Kistechko M.,Verbianyi V.,0.4611,0
Yushko R.,Melashenko O.,0.4979,0
Bondarenko S.,Kurischenko Y.,0.4089,0
Lyevshyn V.,Danyliuk N.,0.4127,1
Bielokon Y.,Homylko A.,0.4999,0
Chelpanov S.,Shyndel I.,0.5021,1
Yushko R.,Chuliukov S.,0.3672,1
Bondarenko S.,Mishchenko O.,0.4581,0
Husiev V.,Melashenko O.,0.498,1
Kovalchuk O.,Kurischenko Y.,0.411,1
Bielokon Y.,Yushko R.,0.5397,0
Chelpanov S.,Bondarenko S.,0.6308,1
Homylko A.,Melashenko O.,0.5892,1
Shyndel I.,Kurischenko Y.,0.4623,1
Syksa A.,Aristarkhov S.,0.5,1
Chuliukov S.,Husiev V.,0.5378,1
Mishchenko O.,Kovalchuk O.,0.4961,1
Okopnyi V.,Korobko V.,0.3766,1
Kurylenko O.,Arzanov D.,0.5,0
Kolos Y.,Budnikov A.,0.47,0
Honchar Y.,Bochkovskyi V.,0.5418,0
Ziakun O.,Aristarkhov S.,0.527,0
Karpenko O.,Semenets S.,0.5,1
Rotari A.,Rotaru S.,0.5,1
Tebenko Y.,Huchok A.,0.4579,1
Syksa A.,Kurylenko O.,0.5459,1
Yurchenko K.,Vilenchyts N.,0.5813,1
Pavliuk V.,Minenko A.,0.5,0
Bazany D.,Polak S.,0.5,0
Kalev L.,Bulat P.,0.5,0
Okopnyi V.,Budnikov A.,0.4708,0
Drobov D.,Zholubak R.,0.581,1
Ziakun O.,Arzanov D.,0.4568,0
Solomko S.,Klymenko K.,0.5,0
Bouska M.,Rejent S.,0.5478,1
Varga K.,Stracar P.,0.5,1
Huchok A.,Korobko V.,0.3806,0
Mihalachi I.,Melnic F.,0.5,1
Honchar Y.,Vilenchyts N.,0.409,0
Kurylenko O.,Aristarkhov S.,0.4549,0
Karpenko O.,Minenko A.,0.5,0
Krames J.,Brandtl A.,0.5019,0
Rotari A.,Bulat P.,0.5,0
Zelman D.,Tokar M.,0.5,1
Kolos Y.,Tebenko Y.,0.5013,1
Syksa A.,Arzanov D.,0.4999,0
Zholubak R.,Bochkovskyi V.,0.5398,0
Klymenko K.,Semenets S.,0.5459,0
Bouska M.,Brandtl A.,0.4977,1
Bazany D.,Stracar P.,0.5,1
Melnic F.,Rotaru S.,0.5,0
Okopnyi V.,Huchok A.,0.5489,1
Yurchenko K.,Drobov D.,0.5443,1
